simulation_id,location,altitude_m,dominant_heat_loss_component,secondary_heat_loss_component,wall_loss_kwh,roof_loss_kwh,floor_loss_kwh,glazing_loss_kwh,infiltration_loss_kwh,sky_loss_kwh,total_loss_kwh,wall_loss_pct,roof_loss_pct,floor_loss_pct,glazing_loss_pct,infiltration_loss_pct,sky_loss_pct,sum_loss_pct,recommended_intervention,intervention_reason,min_indoor_temperature_C,max_indoor_temperature_C,avg_indoor_temperature_C,comfort_hours,hours_below_18C
SIM_000001,Leh,3500.0,FLOOR,INFILTRATION,2.02,3.266,14.022,0.782,9.641,0.389,30.119,6.71,10.84,46.56,2.6,32.01,1.29,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-13.55,-5.61,-8.99,0,24
SIM_000002,Dras,3280.0,WALL,FLOOR,8.797,0.6,5.331,0.737,1.501,0.056,17.022,51.68,3.53,31.32,4.33,8.82,0.33,100.01,Add 75mm exterior insulation (EPS/rockwool),Wall conduction accounts for highest percentage of heat loss.,-27.16,-22.34,-24.46,0,24
SIM_000003,Siachen,5400.0,FLOOR,WALL,11.426,1.693,17.45,6.434,2.972,0.059,40.034,28.54,4.23,43.59,16.07,7.42,0.15,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-41.52,-37.41,-38.73,0,24
SIM_000004,Daulat Beg Oldie,5065.0,ROOF,FLOOR,2.932,24.701,16.492,2.367,8.63,4.12,59.242,4.95,41.7,27.84,3.99,14.57,6.95,100.0,Add 100mm exterior roof insulation,Roof conduction loss dominates envelope heat transfer.,-34.83,-27.6,-30.18,0,24
SIM_000005,Galwan,4300.0,FLOOR,INFILTRATION,2.441,3.417,8.791,2.568,3.564,0.355,21.136,11.55,16.16,41.59,12.15,16.86,1.68,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-26.06,-19.05,-21.25,0,24
SIM_000006,Hanle,4500.0,FLOOR,INFILTRATION,1.229,1.743,7.188,1.716,4.652,0.414,16.943,7.26,10.29,42.43,10.13,27.46,2.44,100.01,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-20.21,-12.24,-15.14,0,24
SIM_000007,Nyoma,4180.0,FLOOR,INFILTRATION,2.72,0.571,9.741,0.231,5.433,0.057,18.752,14.5,3.04,51.94,1.23,28.97,0.31,99.99,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-18.83,-11.84,-15.06,0,24
SIM_000008,Chushul,4350.0,FLOOR,WALL,3.544,0.562,6.403,0.487,0.382,0.043,11.421,31.03,4.92,56.06,4.27,3.34,0.38,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-37.47,-30.22,-32.9,0,24
SIM_000009,Rezang La,5000.0,FLOOR,WALL,3.977,1.943,17.047,3.93,2.87,0.055,29.822,13.34,6.52,57.16,13.18,9.62,0.18,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-26.45,-18.97,-21.89,0,24
SIM_000010,Pangong,4250.0,FLOOR,WALL,4.392,2.163,9.052,0.54,3.473,0.225,19.844,22.13,10.9,45.62,2.72,17.5,1.13,100.0,Install sub-base perimeter slab insulation,Ground conduction is primary heat drain.,-22.24,-17.81,-19.76,0,24
