region,location,climate_description,recommended_material,application,thermal_climate_reason,engineering_notes,recommendation_confidence,thermal_insulation_score,durability_score,thermal_mass_or_envelope_score,constructability_score,data_status,synthetic_flag,source_note,linked_dataset_key
Ladakh/Karakoram,Siachen_Base_Camp,"Very cold, high altitude, snow/ice, high wind",PUF sandwich panel,wall/roof,"Excellent insulation, low conductivity, lightweight",Use with protected joints and appropriate structural system,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Siachen_Base_Camp
Ladakh/Karakoram,Siachen_Base_Camp,"Very cold, high altitude, snow/ice, high wind",EPS insulation,wall/roof,Low thermal conductivity and useful as insulation layer,"Protect from moisture, fire and mechanical damage",HIGH,5.0,3.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Siachen_Base_Camp
Ladakh/Karakoram,Daulat_Beg_Oldie,"Extreme cold, very high altitude, dry, high wind",PUF sandwich panel,wall/roof,Low-k insulated envelope suitable for rapid shelter construction,Structural design and fire/moisture protection required,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Daulat_Beg_Oldie
Ladakh/Karakoram,Depsang_Plains,"Extreme cold, very high altitude, dry, high wind",PUF sandwich panel,wall/roof,High insulation value with low mass,Use engineered panels and sealed joints,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Depsang_Plains
Ladakh,Galwan_Valley,"Cold, high altitude, dry, strong diurnal variation",Stone masonry + insulation,wall,High thermal mass combined with insulated envelope,Insulation layer is important; stone alone is not an adequate cold-climate envelope,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Galwan_Valley
Ladakh,Pangong_North,"Cold, high altitude, dry, strong solar exposure",Rammed earth + insulation,wall,Thermal mass can reduce temperature swings when combined with insulation,Moisture and structural detailing required,MEDIUM-HIGH,4.0,4.0,4.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Pangong_North
Ladakh,Chushul,"Cold, high altitude, dry, strong winds",PUF sandwich panel,wall/roof,Low conductivity and fast construction potential,Seal joints against infiltration,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Chushul
Ladakh,Rezang_La,"Extreme cold, high altitude, snow, wind",PUF sandwich panel,wall/roof,Strong insulation priority for extreme cold,Structural anchorage and weather sealing required,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Rezang_La
Ladakh,Hanle,"Cold, high altitude, dry, clear skies, strong solar radiation",Rammed earth + insulation,wall,High thermal mass with insulation supports day/night stability,Protect from water and verify local structural suitability,MEDIUM-HIGH,4.0,4.0,4.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Hanle
Ladakh,Nyoma,"Cold, high altitude, dry, strong solar exposure",Stone masonry + insulation,wall,Thermal mass plus insulation can reduce heat loss and swings,Use engineered structural design,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Nyoma
Ladakh,Kargil_Ridge,"Cold, high altitude, snow, seasonal freeze-thaw",Stone masonry + insulation,wall,Locally compatible high-mass wall concept with insulated layer,Freeze-thaw and moisture detailing required,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Kargil_Ridge
Jammu_Kashmir,Dras,"Very cold, heavy snow, freeze-thaw",Stone masonry + insulation,wall,High thermal mass with insulation is useful in cold conditions,"Snow, moisture and freeze-thaw detailing required",HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Dras
Jammu_Kashmir,Sonamarg,"Cold, snowy, wetter mountain climate",Stone masonry + mineral/foam insulation,wall/roof,Mass plus insulation and moisture management,Prioritize drainage and moisture protection,HIGH,,,,,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Sonamarg
Jammu_Kashmir,Gurez,"Cold, snowy, mountain valley",Wood timber + insulation,wall/roof,Lightweight envelope with insulation can perform well,Protect timber from moisture and fire,MEDIUM-HIGH,4.0,4.0,3.0,4.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Gurez
Jammu_Kashmir,Tangdhar,"Cold, snowy, mountain climate",Stone masonry + insulation,wall,Thermal mass plus insulation,Detail for moisture and freeze-thaw,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Tangdhar
Jammu_Kashmir,Machil,"Cold, snowy, high-altitude mountain climate",Wood timber + insulation,wall/roof,Lightweight and thermally efficient when insulated,Moisture/fire protection required,MEDIUM-HIGH,4.0,4.0,3.0,4.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Machil
Jammu_Kashmir,Keran,Cold mountain climate,Stone masonry + insulation,wall,Durable high-mass envelope with insulation,Control moisture and thermal bridges,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Keran
Himachal_Pradesh,Keylong,"Cold, dry, high-altitude, snow",Stone masonry + insulation,wall,High thermal mass with insulation,Verify local stone and structural design,HIGH,4.0,5.0,5.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Keylong
Himachal_Pradesh,Kunzum_Pass,"Extreme cold, snow, high wind",PUF sandwich panel,wall/roof,High insulation and low mass,Engineer anchorage for wind/snow,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Kunzum_Pass
Himachal_Pradesh,Rohtang_Pass,"Cold, heavy snow, wet mountain climate",Insulated sandwich panel,wall/roof,Insulation plus weather-resistant envelope,Snow-load and moisture detailing required,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Rohtang_Pass
Himachal_Pradesh,Spiti_Kaza,"Cold, dry, high-altitude, strong solar radiation",Rammed earth + insulation,wall,Thermal mass can moderate strong diurnal swings,Protect against moisture; verify seismic/structural design,MEDIUM-HIGH,4.0,4.0,4.0,3.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Spiti_Kaza
Himachal_Pradesh,Baralacha_La,"Extreme cold, snow, high wind",PUF sandwich panel,wall/roof,High insulation-to-weight ratio,Engineer snow/wind anchorage,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Baralacha_La
Uttarakhand,Mana_Pass,"Very high altitude, cold, snow, wind",Insulated sandwich panel,wall/roof,High insulation priority,Structural and snow/wind design essential,HIGH,5.0,4.0,4.0,5.0,ENGINEERING_CANDIDATE_RECOMMENDATION,True,"Candidate engineering matrix; verify local codes, structural loads, fire/moisture requirements and authoritative literature before deployment.",Mana_Pass
