material_id,material_name,material_category,building_component,thermal_conductivity_W_mK,density_kg_m3,specific_heat_J_kgK,thermal_diffusivity_m2_s,solar_absorptance,emissivity,moisture_resistance,freeze_thaw_resistance,fire_performance,thermal_mass_rating,durability_rating,constructability_rating,relative_cost,climate_use,data_status,source_status,synthetic_flag
MAT-001,Dense Concrete,Structural,foundation,1.4,2300,1000,6.08695652173913e-07,0.65,0.9,high,high,high,very_high,high,medium,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-002,RCC,Structural,foundation,1.7,2400,900,7.87037037037037e-07,0.65,0.9,high,high,high,very_high,high,medium,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-003,Stone Masonry,Masonry,foundation,1.8,2400,850,8.823529411764706e-07,0.6,0.9,high,high,high,very_high,very_high,medium,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-004,Mud Brick,Masonry,wall,0.75,1700,1000,4.411764705882353e-07,0.7,0.9,low-medium,medium,high,high,medium,medium,low,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-005,Rammed Earth,Masonry,wall,1.1,1900,1150,5.034324942791763e-07,0.65,0.9,medium,medium,high,very_high,high,medium,low-medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-006,AAC Block,Masonry,wall,0.18,550,1000,3.272727272727273e-07,0.6,0.9,medium,medium,high,medium,medium,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-007,Fly Ash Brick,Masonry,wall,0.9,1700,840,6.302521008403361e-07,0.65,0.9,medium,high,high,high,high,high,low-medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-008,Clay Brick,Masonry,wall,0.72,1800,840,4.761904761904762e-07,0.65,0.9,medium,high,high,high,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-009,Timber Pine,Structural,wall,0.13,500,1600,1.625e-07,0.6,0.9,low-medium,medium,medium,medium,medium-high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-010,Structural Steel,Structural,column,50.0,7850,490,1.2998830105290524e-05,0.7,0.8,high,high,medium,low,high,high,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-011,Aluminium,Structural/Envelope,roof,205.0,2700,900,8.436213991769547e-05,0.75,0.8,high,high,medium,low,medium,high,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-012,EPS,Insulation,wall,0.035,20,1400,1.25e-06,0.2,0.9,medium,medium,medium,low,medium,high,low-medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-013,XPS,Insulation,wall,0.03,35,1450,5.911330049261084e-07,0.2,0.9,high,high,medium,low,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-014,PUF,Insulation,wall,0.024,40,1500,4e-07,0.2,0.9,high,high,medium,low,medium-high,high,medium-high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-015,PIR,Insulation,wall,0.026,35,1400,5.306122448979591e-07,0.2,0.9,high,high,high,low-medium,high,high,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-016,Mineral Wool,Insulation,wall,0.04,80,840,5.952380952380953e-07,0.25,0.9,high,high,very_high,low-medium,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-017,Glass Wool,Insulation,wall,0.04,20,800,2.5e-06,0.25,0.9,medium,high,very_high,low,medium,high,low-medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-018,Straw Bale,Bio-based insulation,wall,0.065,110,1800,3.282828282828283e-07,0.4,0.9,low-medium,medium,medium,high,medium,medium,low,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-019,Wood Fibre Board,Bio-based insulation,wall,0.045,160,2100,1.3392857142857142e-07,0.45,0.9,medium,medium,medium,high,medium,medium-high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-020,Cork Board,Bio-based insulation,wall,0.04,120,1800,1.8518518518518518e-07,0.35,0.9,high,high,medium,medium,high,medium,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-021,Gypsum Board,Interior,ceiling,0.25,800,1090,2.86697247706422e-07,0.3,0.9,low-medium,medium,high,medium,medium,high,low-medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-022,Cement Board,Interior/Envelope,wall lining,0.35,1200,1000,2.9166666666666664e-07,0.45,0.9,high,high,high,high,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-023,Plywood,Interior/Structural,wall,0.13,550,1300,1.8181818181818183e-07,0.45,0.9,medium,medium,medium,medium,medium,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-024,Metal Roofing Sheet,Roof,roof outer layer,50.0,7850,490,1.2998830105290524e-05,0.7,0.8,high,high,medium,low,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-025,Clay Roof Tile,Roof,roof outer layer,1.0,1900,840,6.265664160401002e-07,0.6,0.9,medium,high,high,high,high,medium,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-026,Roofing Membrane,Envelope,roof waterproofing,0.2,1200,1000,1.6666666666666668e-07,0.5,0.9,very_high,high,medium,low,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-027,Bituminous Waterproofing,Envelope,foundation,0.17,1100,1000,1.5454545454545456e-07,0.7,0.9,very_high,medium,medium,low,high,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-028,Double Glazing,Glazing,window,0.8,2500,840,3.8095238095238096e-07,0.2,0.84,high,high,high,low,low,high,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-029,Triple Glazing,Glazing,window,0.6,2500,840,2.857142857142857e-07,0.2,0.84,high,high,high,low,low,high,very_high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-030,Low-E Glazing,Glazing,window,0.7,2500,840,3.333333333333333e-07,0.2,0.84,high,high,high,low,low,high,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-031,Insulated Metal Door,Door,door,0.04,80,1400,3.5714285714285716e-07,0.3,0.85,high,high,high,low,medium,high,medium-high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-032,Timber Door,Door,door,0.13,500,1600,1.625e-07,0.5,0.9,medium,medium,medium,medium,medium,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-033,Insulated Shutter,Solar/Envelope,window,0.05,100,1200,4.1666666666666667e-07,0.3,0.85,high,high,high,low,medium,high,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-034,Aerogel Blanket,Advanced Insulation,wall,0.015,150,1000,1e-07,0.2,0.9,high,high,high,medium,high,medium,very_high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-035,Vacuum Insulation Panel,Advanced Insulation,wall,0.008,180,1000,4.444444444444445e-08,0.2,0.9,high,high,medium,medium,high,medium,very_high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-036,Gabion Stone,Foundation,foundation,1.8,2400,850,8.823529411764706e-07,0.6,0.9,very_high,high,high,very_high,very_high,medium,medium,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-037,Composite Sandwich Panel,Envelope,wall,0.025,80,1200,2.604166666666667e-07,0.3,0.85,high,high,medium,low-medium,high,very_high,medium-high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
MAT-038,PU/PIR Core Panel,Envelope,wall,0.024,45,1400,3.8095238095238096e-07,0.2,0.85,high,high,high,low-medium,high,very_high,high,candidate—requires physics and structural validation,ENGINEERING_CANDIDATE_PROPERTY,Values require authoritative source verification before deployment,True
